id,num,name,type,expiry,code
1,10004210,50ETF沽4月2450,put,2022/4/27,510050P2204M02450
2,10004209,50ETF购4月2450,call,2022/4/27,510050C2204M02450
3,10004134,50ETF沽4月2600,put,2022/4/27,510050P2204M02600
4,10004133,50ETF沽4月2550,put,2022/4/27,510050P2204M02550
5,10004132,50ETF沽4月2500,put,2022/4/27,510050P2204M02500
6,10004131,50ETF购4月2600,call,2022/4/27,510050C2204M02600
7,10004130,50ETF购4月2550,call,2022/4/27,510050C2204M02550
8,10004129,50ETF购4月2500,call,2022/4/27,510050C2204M02500
9,10004128,50ETF沽3月2600,put,2022/3/23,510050P2203M02600
10,10004127,50ETF沽3月2550,put,2022/3/23,510050P2203M02550
11,10004126,50ETF沽3月2500,put,2022/3/23,510050P2203M02500
12,10004125,50ETF购3月2600,call,2022/3/23,510050C2203M02600
13,10004124,50ETF购3月2550,call,2022/3/23,510050C2203M02550
14,10004123,50ETF购3月2500,call,2022/3/23,510050C2203M02500
15,10004118,50ETF沽4月2650,put,2022/4/27,510050P2204M02650
16,10004117,50ETF购4月2650,call,2022/4/27,510050C2204M02650
17,10004116,50ETF沽3月2650,put,2022/3/23,510050P2203M02650
18,10004115,50ETF购3月2650,call,2022/3/23,510050C2203M02650
19,10004102,50ETF沽4月2700,put,2022/4/27,510050P2204M02700
20,10004101,50ETF购4月2700,call,2022/4/27,510050C2204M02700
21,10004100,50ETF沽3月2700,put,2022/3/23,510050P2203M02700
22,10004099,50ETF购3月2700,call,2022/3/23,510050C2203M02700
23,10004078,50ETF沽4月2750,put,2022/4/27,510050P2204M02750
24,10004077,50ETF购4月2750,call,2022/4/27,510050C2204M02750
25,10004076,50ETF沽3月2750,put,2022/3/23,510050P2203M02750
26,10004075,50ETF购3月2750,call,2022/3/23,510050C2203M02750
27,10004072,50ETF沽4月2800,put,2022/4/27,510050P2204M02800
28,10004071,50ETF购4月2800,call,2022/4/27,510050C2204M02800
29,10004052,50ETF沽4月3500,put,2022/4/27,510050P2204M03500
30,10004051,50ETF沽4月3400,put,2022/4/27,510050P2204M03400
31,10004050,50ETF沽4月3300,put,2022/4/27,510050P2204M03300
32,10004049,50ETF沽4月3200,put,2022/4/27,510050P2204M03200
33,10004048,50ETF沽4月3100,put,2022/4/27,510050P2204M03100
34,10004047,50ETF沽4月3000,put,2022/4/27,510050P2204M03000
35,10004046,50ETF沽4月2950,put,2022/4/27,510050P2204M02950
36,10004045,50ETF沽4月2900,put,2022/4/27,510050P2204M02900
37,10004044,50ETF沽4月2850,put,2022/4/27,510050P2204M02850
38,10004043,50ETF购4月3500,call,2022/4/27,510050C2204M03500
39,10004042,50ETF购4月3400,call,2022/4/27,510050C2204M03400
40,10004041,50ETF购4月3300,call,2022/4/27,510050C2204M03300
41,10004040,50ETF购4月3200,call,2022/4/27,510050C2204M03200
42,10004039,50ETF购4月3100,call,2022/4/27,510050C2204M03100
43,10004038,50ETF购4月3000,call,2022/4/27,510050C2204M03000
44,10004037,50ETF购4月2950,call,2022/4/27,510050C2204M02950
